date,return,open_close,rv,vix,year_week,dhousing,dindpro,nai,nfci,year_month
1984-08-15,-0.990164556405837,-0.990164556405837,NA,NA,1984-08-12,-8.806168692758742,0.08928850491400908,0.07,0.7,1984-08-01
1984-08-16,0.594055689031503,0.594055689031503,NA,NA,1984-08-12,-8.806168692758742,0.08928850491400908,0.07,0.7,1984-08-01
1984-08-17,0.225668722293193,-0.09743271932984854,NA,NA,1984-08-12,-8.806168692758742,0.08928850491400908,0.07,0.7,1984-08-01
1984-08-20,0.48620674216248716,0.48620674216248716,NA,NA,1984-08-19,-8.806168692758742,0.08928850491400908,0.07,0.64,1984-08-01
1984-08-21,1.7369790706077914,1.7369790706077914,NA,NA,1984-08-19,-8.806168692758742,0.08928850491400908,0.07,0.64,1984-08-01
1984-08-22,-0.4598556880894833,-0.4598556880894833,NA,NA,1984-08-19,-8.806168692758742,0.08928850491400908,0.07,0.64,1984-08-01
1984-08-23,0.03590699736752967,0.03590699736752967,NA,NA,1984-08-19,-8.806168692758742,0.08928850491400908,0.07,0.64,1984-08-01
1984-08-24,0.23309337969417143,0.23309337969417143,NA,NA,1984-08-19,-8.806168692758742,0.08928850491400908,0.07,0.64,1984-08-01
1984-08-27,-0.6408124995547659,-0.6408124995547659,NA,NA,1984-08-26,-8.806168692758742,0.08928850491400908,0.07,0.57,1984-08-01
1984-08-28,0.5751226081997629,0.5751226081997629,NA,NA,1984-08-26,-8.806168692758742,0.08928850491400908,0.07,0.57,1984-08-01
1984-08-29,-0.18535567462230063,-0.18535567462230063,NA,NA,1984-08-26,-8.806168692758742,0.08928850491400908,0.07,0.57,1984-08-01
1984-08-30,-0.2936799719710059,-0.2996705760843099,NA,NA,1984-08-26,-8.806168692758742,0.08928850491400908,0.07,0.57,1984-08-01
1984-08-31,0.04799988104640107,0.04799988104640107,NA,NA,1984-08-26,-8.806168692758742,0.08928850491400908,0.07,0.57,1984-08-01
1984-09-04,-1.0857797650323242,-1.0857797650323242,NA,NA,1984-09-02,6.823596467649917,-0.18061988002013862,0.08,0.51,1984-09-01
1984-09-05,-0.3584850596627831,-0.3584850596627831,NA,NA,1984-09-02,6.823596467649917,-0.18061988002013862,0.08,0.51,1984-09-01
1984-09-06,0.8243976214296289,0.8243976214296289,NA,NA,1984-09-02,6.823596467649917,-0.18061988002013862,0.08,0.51,1984-09-01
1984-09-07,-0.7757138725699164,-0.7757138725699164,NA,NA,1984-09-02,6.823596467649917,-0.18061988002013862,0.08,0.51,1984-09-01
1984-09-10,-0.06694459267588826,-0.06694459267588826,NA,NA,1984-09-09,6.823596467649917,-0.18061988002013862,0.08,0.44,1984-09-01
1984-09-11,0.11560465199407233,-0.4671370794455676,NA,NA,1984-09-09,6.823596467649917,-0.18061988002013862,0.08,0.44,1984-09-01
1984-09-12,0.1397600002584376,0.1397600002584376,NA,NA,1984-09-09,6.823596467649917,-0.18061988002013862,0.08,0.44,1984-09-01
1984-09-13,1.9602630269408117,1.9602630269408117,NA,NA,1984-09-09,6.823596467649917,-0.18061988002013862,0.08,0.44,1984-09-01
1984-09-14,0.49893011405162113,0.49893011405162113,NA,NA,1984-09-09,6.823596467649917,-0.18061988002013862,0.08,0.44,1984-09-01
1984-09-17,0.053307273052194404,0.053307273052194404,NA,NA,1984-09-16,6.823596467649917,-0.18061988002013862,0.08,0.38,1984-09-01
1984-09-18,-0.7250721412078498,-0.7250721412078498,NA,NA,1984-09-16,6.823596467649917,-0.18061988002013862,0.08,0.38,1984-09-01
1984-09-19,-0.4243958720448582,-0.4243958720448582,NA,NA,1984-09-16,6.823596467649917,-0.18061988002013862,0.08,0.38,1984-09-01
1984-09-20,0.3169758314662374,0.3169758314662374,NA,NA,1984-09-16,6.823596467649917,-0.18061988002013862,0.08,0.38,1984-09-01
1984-09-21,-1.0806390839350755,-1.0806390839350755,NA,NA,1984-09-16,6.823596467649917,-0.18061988002013862,0.08,0.38,1984-09-01
1984-09-24,-0.235684655726498,-0.235684655726498,NA,NA,1984-09-23,6.823596467649917,-0.18061988002013862,0.08,0.32,1984-09-01
1984-09-25,0.20549780949732366,0.20549780949732366,NA,NA,1984-09-23,6.823596467649917,-0.18061988002013862,0.08,0.32,1984-09-01
1984-09-26,0.39771309545217903,0.39771309545217903,NA,NA,1984-09-23,6.823596467649917,-0.18061988002013862,0.08,0.32,1984-09-01
1984-09-27,0.40811963246696337,0.12586198994206654,NA,NA,1984-09-23,6.823596467649917,-0.18061988002013862,0.08,0.32,1984-09-01
1984-09-28,-0.5164251953088339,-0.5164251953088339,NA,NA,1984-09-23,6.823596467649917,-0.18061988002013862,0.08,0.32,1984-09-01
